,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
9890,SRRA,80.0,2019-02-28,2073040.0,SRRA,11.92,2020-02-28,386029.2
9891,SRRA,12.7,2020-03-03,367296.69999999995,SRRA,14.75,2021-03-03,117277.25
9892,SRRA,15.44,2021-03-11,4591130.32,SRRA,30.13,2022-03-11,8921854.56
9893,SRRA,29.1,2022-03-10,6960603.600000001,SRRA,,,
9894,SRT,10.55,2018-03-16,3346903.1,SRT,7.31,2019-03-18,277831.17
9895,SRT,7.75,2019-03-13,1029184.5,SRT,4.25,2020-03-12,251094.25
9896,SRT,4.25,2020-03-12,251094.25,SRT,8.8,2021-03-12,656286.4
9897,SRT,9.8,2021-03-16,2189996.2,SRT,3.89,2022-03-16,177422.9
9898,SRT,4.11,2022-03-14,215244.81000000003,SRT,,,
9899,SSD,55.1,2018-03-01,23254514.2,SSD,60.5,2019-03-01,12509403.5
9900,SSD,59.17,2019-02-27,5942147.25,SSD,79.01,2020-02-27,30246924.240000002
9901,SSD,82.8,2020-02-25,19376690.4,SSD,99.07,2021-02-24,15869825.159999998
9902,SSD,98.52,2021-02-26,27575353.919999998,SSD,117.15,2022-02-28,19557138.150000002
9903,SSD,117.15,2022-02-28,19557138.150000002,SSD,,,
9904,SSI,,,,SSI,,,
9905,SSI,,,,SSI,,,
9906,SSNC,49.74,2018-02-28,39441581.7,SSNC,61.54,2019-02-28,106596511.0
9907,SSNC,62.43,2019-03-01,183988951.32,SSNC,56.11,2020-03-02,118556277.86
9908,SSNC,53.4,2020-02-28,253847793.6,SSNC,66.88,2021-03-01,107344607.03999999
9909,SSNC,69.0,2021-02-25,102849054.0,SSNC,74.09,2022-02-25,74471341.23
9910,SSNC,74.09,2022-02-25,74471341.23,SSNC,,,
9911,SSNT,3.15,2018-11-09,365.4,SSNT,3.43,2019-11-11,49350.840000000004
9912,SSNT,2.92,2019-03-28,90522.92,SSNT,1.88,2020-03-27,35955.0
9913,SSNT,2.15,2020-03-26,32196.25,SSNT,6.3,2021-03-26,3430022.4
9914,SSNT,6.95,2021-03-25,22861684.45,SSNT,,,
9915,SSNT,,,,SSNT,,,
9916,SSP,15.26,2018-02-28,17353839.86,SSP,20.2,2019-02-28,26195663.0
